total_rooms,population,households,median_house_value
5022,2558,1661,218500
4190,1786,1037,234100
2515,970,373,327600
3175,1098,485,347600
2576,794,376,366100
334,98,47,335000
2800,1061,403,373600
3529,1177,555,389500
2612,901,367,391100
5287,2031,956,337300
2935,1031,479,295200
3424,1358,597,292300
4991,1616,654,411500
2211,844,343,311500
3038,1140,496,325900
1617,533,194,392600
2865,1072,443,319300
5065,1627,766,333300
1326,463,190,335200
1589,542,211,351200
1791,661,269,368900
1835,635,263,365900
1229,420,176,366700
3770,1265,500,362800
292,126,52,483300
2375,813,350,331400
2964,1067,426,323500
2833,1260,552,216700
2254,951,487,233100
1389,510,224,296400
1971,765,308,273700
2183,1129,460,227700
2286,1073,441,199600
2721,1185,515,239800
2024,756,340,270100
2944,1034,521,302100
2033,787,459,269500
1433,612,213,314700
2927,1021,380,390100
2315,861,258,410300
2485,953,327,352400
1490,634,256,287300
2814,878,352,348700
2093,918,483,243800
888,360,175,211500
2087,1197,488,218400
2513,1048,518,269900
3232,1373,747,218800
4120,1715,1015,225000
2364,1359,722,250000
1471,1062,413,171400
2468,1335,773,193800
1632,1171,429,125000
1786,1475,460,97500
629,742,196,125000
1339,1086,363,138800
1678,1645,543,116700
2344,1710,644,151800
996,731,228,127000
1591,1118,347,128600
1586,1006,335,140600
2046,1213,554,182700
1192,772,257,146900
1803,1321,401,122800
2838,1487,677,169300
783,488,186,126600
1590,949,392,127900
1746,1149,415,123500
1252,844,280,111900
5963,4367,1231,112800
1783,1659,412,107900
999,1011,263,137500
1469,1464,389,105500
1372,1237,303,95500
674,647,168,116100
1626,1284,357,112200
175,228,55,75000
461,381,123,112500
902,846,227,125000
2373,1659,676,115000
391,520,138,95000
1137,866,259,96400
769,612,183,72000
472,415,126,71300
862,994,213,80800
1920,1525,477,128800
1420,1506,438,112500
986,1008,255,119400
2340,2813,751,118100
1696,1481,343,122500
1175,859,219,106300
2343,1608,523,132500
610,425,140,122700
930,564,184,113300
1487,961,272,109500
3424,2273,685,164700
762,600,195,125000
2366,1647,527,124700
1826,1201,424,136700
3049,2167,659,141700
1640,939,340,150000
1543,859,292,138800
2364,1517,516,139200
1745,1143,386,143800
2003,1109,464,156500
2018,1221,446,151000
3045,1115,455,273000
1547,706,268,217100
3519,1883,706,187100
2070,804,340,239600
1321,506,252,229700
1694,610,238,257300
1938,768,332,246900
968,462,184,179900
1060,667,235,169600
2041,1059,399,203300
1813,637,277,263400
2718,1106,454,231800
3144,1737,669,140500
1802,1009,390,126000
882,737,210,122000
1621,1354,491,134700
2115,1530,474,139400
2021,1410,480,115400
2239,1390,569,137300
1477,1065,269,137000
1056,792,245,142600
898,779,245,137500
2968,2269,610,111700
1702,1227,407,126800
881,753,241,111300
494,547,135,114800
1776,1807,440,102300
1678,1700,495,131900
1637,1543,393,119100
1420,1085,300,80600
591,353,137,80600
745,473,149,88800
2272,1621,483,102400
1234,1183,354,98700
1017,836,277,100000
932,900,263,92300
2689,1888,537,94800
1547,1024,341,102000
2300,1225,423,158400
1752,1071,376,121600
1867,1128,378,129100
2430,1537,484,121400
1729,1240,393,102800
1026,469,168,160000
2170,1086,425,143900
2329,1144,417,151200
2492,1109,375,164400
2198,984,369,156500
142,575,47,225000
1183,496,209,174200
1070,555,190,166900
1766,869,327,163500
617,236,106,253000
1411,626,214,240700
2109,922,329,208100
1229,582,256,198100
954,546,201,172800
1643,620,266,336700
1355,442,195,318200
2317,955,328,285800
2459,916,324,293000
12842,4985,1967,371000
1524,651,267,157300
3326,1704,703,135300
1985,1085,407,136700
1642,713,284,160700
893,468,181,140600
653,296,121,144000
1256,570,218,161900
977,446,180,156300
2324,968,384,176000
1583,857,316,145800
1612,912,322,141900
2424,1360,452,90700
1594,1074,355,90600
2118,965,382,107900
1575,933,320,107000
1764,987,354,98200
1187,907,246,89500
754,447,165,93800
2308,1299,451,96700
909,396,157,97500
1180,877,268,97300
2018,1111,367,91200
1368,790,269,91400
2744,1479,554,96200
2107,1173,438,120100
1748,1029,366,100000
2024,1030,350,94700
1116,826,279,85700
2036,1412,454,89300
1852,1132,349,101400
921,522,159,72500
995,630,237,74100
606,531,133,70000
2680,1925,667,84600
1493,1144,351,81800
2207,1481,520,81400
856,435,162,81800
1293,984,303,85800
847,567,159,87100
541,380,123,83500
1066,825,244,79700
707,417,155,83400
1528,801,287,84700
909,646,198,80000
1391,855,285,76400
548,435,136,79700
4074,2736,780,82400
1613,1481,414,97700
463,327,137,97200
818,494,179,101600
1473,1231,341,86500
504,323,109,90500
1026,749,225,107600
769,693,178,84200
2103,1339,354,88900
330,282,80,80700
941,621,195,87100
992,732,259,85100
990,901,260,82000
1126,482,150,82800
1036,652,213,84600
1047,651,166,82100
1280,999,286,89300
1587,907,306,98300
1257,828,230,92300
1218,763,254,88800
1751,935,349,90000
2299,1437,484,95500
2457,1516,482,91700
998,597,185,100400
1685,949,342,94800
1827,881,302,164300
2781,1438,519,155500
1823,763,270,196900
2229,1297,355,279100
1513,545,211,252800
3266,1222,533,275400
1809,808,219,250000
794,329,109,329800
690,299,109,195500
1334,579,202,255900
414,137,50,311100
768,229,93,330000
4400,1476,648,248900
954,429,154,142900
1445,849,255,126300
1938,946,331,135800
856,571,191,130600
1790,1137,386,107900
617,378,135,111100
1383,853,272,122000
1325,764,282,118000
1227,928,261,95200
667,406,133,94300
1223,824,280,92500
1379,835,259,91800
1534,826,295,109400
1029,567,211,129500
771,355,144,143400
824,533,166,98200
1097,609,215,103100
1283,576,236,276800
1604,594,286,270900
2248,870,377,246200
2263,1027,509,224200
1571,693,326,229100
1520,815,375,211600
5083,2420,1146,256100
1077,518,276,206300
1248,620,275,221300
1342,551,266,207400
3061,2556,924,350000
3171,1498,696,218200
1211,523,227,216700
979,374,153,270600
2269,1004,371,261400
1844,769,334,261300
2178,940,423,232200
1650,645,256,375400
1927,705,288,357300
2079,684,275,374400
1803,572,236,358800
2041,671,253,417500
3046,975,365,430500
2318,779,312,362900
2003,658,244,397000
2261,819,335,346800
1225,412,168,327100
2315,835,369,290100
2070,722,306,292000
2616,1085,487,270900
2640,973,355,371100
1978,723,272,335600
2220,903,362,371300
1125,356,181,344000
3078,1005,462,342200
3706,1205,504,370900
3000,987,450,350000
2863,1031,448,368600
2551,894,404,391800
2255,823,377,415300
3360,1232,621,284900
1693,669,367,287500
2252,989,550,272900
2495,1058,464,259600
1193,506,207,254500
1172,489,218,235600
2159,824,388,218400
2365,1034,475,229200
1895,920,425,192100
1650,841,380,179300
453,749,137,187500
409,208,98,138800
503,228,100,150000
499,287,128,140600
477,218,106,120000
1647,854,355,144800
3123,1695,684,144800
957,403,172,245500
589,288,131,200000
2026,963,521,173700
1829,1129,516,185600
895,386,204,182600
1909,811,406,227900
3022,1293,675,220700
1777,805,431,212000
2803,1372,876,271400
1465,862,425,268800
2619,1152,616,277800
1149,483,249,332500
2363,1558,573,338900
2604,1798,769,287500
685,266,123,384600
1756,2184,422,371400
1204,2016,477,350000
609,1349,250,500001
1087,3337,350,175000
2773,1721,949,241700
3218,1675,1000,216700
1350,707,350,211300
3084,1424,694,210200
938,393,189,196400
1813,828,339,191700
1233,571,292,182300
2539,1382,713,175000
1267,792,321,165900
1665,815,372,156900
1659,788,346,164300
2225,1145,430,150000
2485,1354,563,150500
2031,958,445,169900
2932,1361,608,147400
2246,1005,449,152700
2052,924,414,182700
1999,780,358,179300
3007,1582,636,157700
2214,1213,568,153100
1088,486,267,250000
834,494,175,206300
1769,849,365,218800
2307,1127,548,198200
5161,3276,1742,253600
3497,1493,794,257400
3774,1461,679,289500
2888,1253,538,241700
2153,1656,459,489600
1389,514,202,446200
1709,719,295,456300
1587,878,449,336800
1668,517,214,500001
3726,1366,496,500001
4048,1316,590,376900
3618,1508,755,309600
4076,1800,815,182300
2077,719,326,172700
1279,675,255,150800
1974,875,363,153600
335,152,77,106300
1375,843,319,142300
610,281,132,119400
1025,506,204,147900
2063,1054,466,132900
1872,1017,414,132500
3108,1623,765,126900
7355,3100,2051,143800
2990,947,361,500001
2492,808,315,500001
2991,1018,335,500001
3242,1001,352,500001
3051,1005,369,466100
3494,1192,383,500001
1757,585,227,457800
2449,916,316,471600
1611,556,179,500001
3665,1470,520,398600
2474,1104,398,340700
3037,1242,518,289900
2269,805,321,335300
1316,378,162,333000
1153,481,223,241000
772,409,160,189600
1711,885,373,206300
2650,1468,567,215700
1038,482,215,210200
1527,825,264,208800
859,429,158,197900
970,528,208,201300
1045,496,216,190800
1408,718,265,207900
1222,630,265,215300
1169,723,286,212900
2020,959,486,292700
4145,3668,855,275000
2038,2037,355,200000
5154,3741,1273,173400
1241,821,300,102200
1468,870,347,220800
3997,1901,966,242800
2873,1243,663,265400
1487,730,327,219000
1670,793,299,282100
2252,1033,434,372000
1731,872,363,225800
1710,849,457,220800
2388,1121,518,234500
2156,872,445,254200
1565,637,297,351800
1704,663,340,275000
1210,411,172,405400
2097,915,413,228100
1848,921,477,234000
955,585,266,162500
4329,2086,1053,243400
3011,1303,535,273800
1049,374,176,248500
2504,979,472,244000
1846,827,446,240900
1705,658,253,306300
1542,654,268,240000
891,384,146,247100
4051,1499,797,286600
2646,1128,522,266700
2428,1110,492,229800
2567,1119,415,229300
7031,2930,1235,228400
1914,897,390,206200
18634,7427,2718,350700
5785,2973,1312,231000
2876,1340,632,252900
6909,2974,1484,353900
5679,2690,1151,291700
1156,583,326,100000
14316,5781,2007,341600
3596,1738,512,412500
3541,1478,529,248600
1808,746,270,254900
2879,1235,455,241500
3204,1411,484,295200
3866,1368,521,340400
2476,1048,367,274700
2211,1004,365,238600
2663,1086,367,266400
2599,922,350,330200
4569,1950,819,206800
2973,1413,595,209200
3115,1444,568,195800
1843,749,269,253500
2053,867,329,241800
6740,2723,1035,252500
1751,731,263,263900
1663,781,301,227000
3716,1784,652,220900
2718,1156,410,259300
1420,645,277,232500
1893,821,315,231600
3906,1912,770,209400
3400,1487,694,223200
3402,1645,710,209900
4413,2239,1051,208200
2304,1021,552,203800
2350,1105,467,195700
5914,2999,1295,190500
1575,740,284,181000
1414,629,244,184900
848,314,205,190800
3051,1479,668,242200
4296,1732,800,188300
2898,1338,550,183500
1071,440,192,204200
2619,922,393,251900
1494,611,288,187500
2260,994,412,198200
1394,545,230,219000
1028,317,143,275000
3758,1573,736,245400
2163,925,435,177500
1699,768,385,171600
1555,620,292,183300
1114,425,207,175000
1498,1003,305,156700
726,519,135,157500
890,481,198,179800
2639,1209,519,205500
2562,1398,525,178900
361,158,58,262500
3008,1817,664,165000
1369,766,289,159700
1692,814,328,158300
1007,618,239,144800
3783,2139,789,166300
1507,632,253,191000
666,366,134,175000
2229,877,485,137500
2215,830,573,141700
1616,739,379,210900
1190,540,266,198300
4169,2024,962,157400
2024,823,334,264700
1723,711,353,218400
2264,931,368,235100
1996,686,270,341800
2862,1030,397,367300
2183,976,392,243500
1037,552,210,167900
1134,340,171,371200
786,288,132,218900
1397,555,248,202700
2315,1006,444,186200
1613,776,346,188900
1421,609,270,180000
5778,2441,1352,202700
3094,1364,789,181700
3905,2197,1044,166800
3046,1333,544,183700
3516,1810,703,218000
998,531,183,191500
1464,672,261,194700
1463,695,330,187200
4124,2162,998,223100
2380,1216,643,271300
1266,606,239,194100
2239,1203,379,190400
1571,874,301,189100
1246,637,222,184600
1501,703,276,197300
1468,733,229,192600
1118,625,228,192200
1097,568,225,194600
1719,836,311,193500
1755,952,362,202600
1687,568,352,83300
2262,1125,366,212600
2087,840,401,187800
1480,796,283,205700
1545,863,267,192900
2632,1349,486,205200
2261,929,383,213400
1670,957,335,183600
2141,1093,555,178400
3337,1489,607,219200
3184,1561,628,183100
2341,1256,485,157100
1197,695,279,157800
1131,560,237,161700
1164,632,289,152100
3495,1849,750,144900
2488,1287,538,179900
2681,1580,536,179100
2495,1571,579,159900
1689,828,443,161400
1298,835,338,170400
2693,1765,724,137500
746,387,161,178400
2444,1562,618,155200
1472,768,309,160900
2227,1140,472,167300
200,83,31,340000
1283,485,171,431000
2445,1189,573,301100
1307,586,249,241900
3785,2240,792,162500
2031,867,352,299200
8299,3827,1288,315500
7518,3827,1294,216800
1815,1280,431,218100
5367,2667,1047,170300
1167,253,137,275000
2607,1401,607,184100
493,233,152,160000
1252,673,308,175000
1382,704,314,197500
500,273,120,150000
2333,1120,540,205600
1834,1105,467,170300
1415,569,293,190900
1352,691,324,196900
2116,1109,448,174000
1976,1197,465,170200
1779,1061,400,180900
3659,2479,903,150500
1892,1162,389,167100
1958,1146,448,148900
1553,724,267,196400
2412,975,375,191100
2110,952,370,187500
2179,1159,399,180600
2457,1129,422,182800
2147,1175,401,179300
1676,924,328,179400
2976,1424,538,210300
3036,1366,500,192300
2472,1171,390,198100
1487,641,243,196200
2012,880,332,181600
3342,1635,557,186900
3156,1495,543,188300
1748,914,317,184000
3429,1798,694,184700
3592,1625,665,179900
1035,599,224,167200
3028,2037,703,165400
2431,1854,603,154000
2069,1408,478,153500
1340,766,271,135400
1160,725,274,158300
2015,1019,340,240700
3882,1830,743,180700
3239,1469,616,230600
2932,1198,624,210800
2104,1039,394,165300
1694,690,242,254200
3000,1155,415,332600
2419,1066,384,350000
2280,1255,587,161200
5031,2461,1042,179300
1547,1063,356,154300
3300,2181,740,161800
5018,3069,1299,161900
1813,1093,374,165400
1997,1349,437,166600
901,599,206,149700
686,480,149,162100
1954,1293,448,152600
2630,1414,634,195200
1130,543,184,190600
1184,572,194,193800
656,342,112,200600
2544,2332,603,150000
1305,768,234,185300
1755,913,299,172700
2843,1726,643,174100
2538,1185,501,194400
1784,735,278,206700
1797,796,319,204500
410,252,82,175000
162,86,25,137500
9963,5613,1946,187200
2361,1727,467,173600
862,407,183,163000
4335,2041,734,331600
1487,854,301,197600
3592,1907,746,197900
432,264,77,228100
1457,735,249,189500
1578,836,292,184200
2172,1377,408,180900
1340,789,248,172000
1116,662,226,177900
1885,853,271,173100
1180,664,200,172600
5267,4065,1113,182100
1897,1109,418,179500
767,548,185,176000
691,431,149,192600
786,463,160,182700
5861,5436,1463,134900
2784,2028,693,157600
4524,2426,862,190900
1468,1038,282,158200
1655,857,430,350000
1227,848,291,158200
1160,729,220,146100
952,369,159,226700
2072,1001,350,198700
2964,1472,527,221200
1032,453,176,208500
657,328,134,204200
1540,793,302,193200
1298,632,204,209500
1409,1002,281,164900
1383,808,241,161400
1151,727,215,187000
899,455,185,190400
1793,1534,346,156600
2485,1139,550,157300
1931,1175,337,168100
2329,1401,453,177600
6711,3388,1289,208900
1939,841,364,169200
1642,705,351,163900
1619,1148,310,164700
517,391,107,156900
1570,992,249,168800
1213,790,243,174100
1826,1016,313,206500
2261,1039,395,203900
3666,2341,703,217000
1633,1382,338,159600
2155,1858,437,159800
1295,1156,300,154300
1295,1097,328,149600
1518,831,268,188600
3314,1873,602,238500
3009,1640,514,235300
2605,1568,433,261400
5159,3174,817,234400
1726,1186,310,231700
1816,1367,355,156300
2578,1680,528,222000
2576,1657,410,254400
1644,1033,267,244300
1606,1117,268,247000
3349,2003,488,236500
3475,2568,653,151400
1893,1461,344,213700
1727,1116,273,243600
6243,3163,1274,212500
2077,1488,389,214700
1165,855,319,213200
4371,2530,817,256000
838,240,149,237500
3052,2097,728,178100
4313,2629,721,231800
385,295,92,147900
3046,2056,628,191700
4342,2172,789,247600
3575,1777,559,283500
4126,2079,975,216900
2878,1276,485,282500
4405,2071,688,295600
16199,8117,2847,281800
14917,8012,2606,269800
5719,3436,1057,231200
8647,5019,1379,318300
8112,4576,1348,253400
10648,6075,1797,278200
1150,648,245,300000
14014,7205,2753,273500
4332,2461,829,223400
1716,914,316,214500
4981,2841,924,220200
8444,4446,1491,240300
3028,1531,736,158000
2068,1434,495,224200
1325,909,267,177200
2563,1174,501,216100
5505,2641,971,269700
6462,3288,1235,231200
3746,1606,838,162500
8918,4518,1772,254000
1949,986,322,196200
4924,3080,1182,189400
5133,3386,1339,220800
6647,4649,1903,213800
5674,2412,714,442900
10687,4552,1520,333400
1354,596,220,352400
3715,1631,538,305300
2095,941,304,259600
3517,1724,585,248900
2537,1067,410,356000
5106,2738,1108,236000
2215,1278,492,218800
2949,1538,545,228000
2375,1252,586,235900
2312,1344,467,203200
2277,1353,413,197000
2506,1273,406,236400
2829,1610,540,223200
3179,2142,639,222700
2332,1285,404,225000
3584,1673,661,240100
3046,1772,516,227900
2414,1106,453,268600
4133,2023,749,275100
2791,1276,468,256300
6103,3026,1134,332400
2572,1128,395,287600
1910,852,357,298900
1890,889,314,287600
5405,2831,923,222200
3761,1776,613,232600
3333,1671,504,258300
4925,2530,894,230900
3994,2721,763,196900
5811,3215,1086,223500
4211,2352,734,223900
5532,2855,960,243500
28258,12203,3701,451100
4909,1981,591,500001
7441,3571,1466,193100
4314,1972,623,264400
2016,1105,357,246900
5377,2759,760,337300
9167,4319,1404,284800
3087,1597,483,217300
3170,1446,515,291700
2145,1285,377,223800
4209,2568,703,223100
4247,2357,823,211300
4458,2998,890,218500
407,307,100,156300
6483,3526,1060,248200
1867,1213,338,186000
2918,1911,639,178200
2316,1524,467,190400
1240,719,236,210300
4458,3038,870,208000
1746,1268,404,183300
4572,2346,709,245700
4280,2216,681,242200
6352,3223,1316,181700
7477,2937,1506,299400
4638,2302,687,219500
4377,2038,671,231800
3816,1935,642,221300
2806,1453,444,213800
4822,2288,805,206000
6473,2484,970,271100
8072,3386,1062,336500
1280,512,208,315600
3166,1081,400,500001
3742,1590,559,285400
7397,3126,1115,323000
1655,706,219,291900
2456,793,456,225600
2179,926,299,259600
1804,831,260,262900
3631,1700,520,257300
2876,1395,427,259200
7490,3329,1136,339700
2234,854,286,337200
1898,734,245,334100
4070,1543,577,311500
2244,937,324,296900
2948,1181,474,247900
2034,852,295,300400
2130,876,285,332400
9540,3926,1229,389800
2702,1360,642,233000
522,161,102,238500
775,315,123,233300
1565,769,461,231300
1309,514,172,475800
5519,2444,825,393200
4337,1813,743,247200
1812,853,278,229400
4719,1895,742,282500
4236,1833,663,300600
3634,1699,640,293200
1569,583,214,278500
13182,4847,1950,352900
228,83,42,400000
127,51,21,375000
9621,4389,1391,313700
6159,2649,1241,139300
4290,1952,576,327500
1786,771,279,430600
404,144,58,125000
1671,729,252,450000
5608,2595,1067,200200
12070,5826,2125,192400
494,254,85,418800
5533,2474,910,216800
3956,2222,662,215500
1906,802,319,227700
3433,1919,709,184400
1687,950,372,158400
2358,1157,461,174600
2853,1761,572,168400
6296,3200,1047,188400
3980,1705,679,256700
2647,1422,522,183800
1755,702,263,183400
1864,1189,349,177500
1078,555,197,186900
20354,8768,3293,238900
3112,1392,680,172500
495,277,109,179200
2157,929,419,204400
1501,629,288,209400
8068,3489,1259,264200
3023,1225,468,350000
2211,1024,321,199800
2163,947,346,211000
1773,804,269,201100
1947,900,354,193000
14701,6693,2232,245000
1364,338,152,117600
2061,573,196,97900
3045,202,102,140600
3545,946,411,120900
2944,1091,466,119000
1443,435,181,129200
2277,767,356,99100
1564,618,277,108900
4403,1103,433,111700
1133,495,187,68900
1001,369,157,96400
1783,638,262,116700
1521,607,240,123800
1374,657,288,97900
1391,546,214,129800
1473,597,228,121300
1248,529,216,107200
1748,4930,287,121900
3998,1614,698,113400
3471,1793,600,99100
2791,1187,438,103000
2084,834,305,114200
5654,2237,953,144100
4221,1737,743,128600
1787,806,306,157200
2144,985,381,118500
1538,730,267,116700
3750,1444,603,134800
3267,1252,566,109900
1257,559,213,144300
1341,533,242,123600
9831,4644,1775,112600
6010,2710,1149,107300
7653,3628,1494,117800
5273,2446,1199,89900
2351,1215,548,102300
7254,4030,1667,87300
10265,4591,1906,142600
14631,7517,3262,153100
1707,822,297,126600
1651,856,293,118300
1737,747,265,147000
568,267,129,78100
1139,623,264,85800
2901,1426,632,84500
444,1107,98,137500
3425,2469,758,88900
3494,1571,784,120200
4362,2053,1000,74500
2976,1181,560,85100
3263,1290,594,130300
2551,1011,374,125200
7744,3316,1365,111400
2236,974,379,97000
7212,3264,1264,122600
5690,2887,1077,116300
140,84,29,179200
2923,1371,626,85800
677,379,154,94800
502,311,100,200000
857,520,198,112500
1457,802,342,69000
957,513,223,55000
1741,753,377,77900
7272,5022,1524,98800
1890,974,383,78700
5051,2948,980,81300
2242,1160,449,60300
2978,1879,679,66300
1222,708,281,116700
5103,2456,810,159700
2741,1217,437,139200
1453,904,286,89600
549,275,94,153100
2202,1109,403,87500
3759,1705,600,158600
1535,726,272,95100
1465,745,250,93800
2867,1203,449,95300
3996,1786,728,141300
858,47,27,67500
1468,611,235,73000
1527,665,261,119600
4591,1904,812,93200
1742,721,312,117900
3835,1456,658,97200
1958,875,354,97600
3744,1532,660,95300
3974,1610,634,107700
2672,1151,532,102900
743,395,168,88300
2754,1063,543,86500
945,385,207,58000
1503,699,296,84000
1612,837,303,89500
1677,770,309,93400
790,365,152,115200
2221,952,440,105700
1535,664,273,97300
2636,1184,465,108600
1384,557,232,104900
2487,1110,453,110200
1676,733,318,103800
908,481,211,80800
2263,1138,455,87300
2447,1157,556,85500
2431,1026,427,85000
1759,788,359,93500
1599,794,303,96700
2598,1151,490,109700
2063,934,529,85800
1173,523,258,92800
1296,569,257,70500
1808,763,335,121800
2748,1174,514,102600
3502,1763,613,101200
2836,1163,512,168300
1619,705,285,126100
1646,750,344,83800
2888,984,499,92600
1677,844,330,111200
1896,893,334,87500
1583,730,306,87500
2828,986,391,94700
632,221,102,62500
1483,481,211,83300
2490,1229,497,85700
818,358,197,79500
1957,945,397,53600
1733,1861,415,65200
886,576,205,84100
5549,1822,919,142300
848,436,155,93800
1652,790,292,90800
1554,553,230,91800
3720,1304,607,97500
1806,683,295,91200
1030,448,159,73800
1028,471,186,86400
3585,1887,765,62100
3085,1688,575,72200
1551,684,310,57600
827,396,161,58300
1050,485,260,51700
1064,603,190,57900
1885,871,347,53100
2023,1073,436,56100
2409,1384,479,58000
1865,1087,385,56700
1947,925,337,57600
2105,974,385,63300
1610,909,323,59800
1387,640,289,65200
202,145,40,42500
3215,2041,737,45100
1438,779,275,39400
1537,617,274,50300
2896,1809,617,53800
1724,939,302,53900
461,284,90,41800
2505,1174,429,88900
1462,569,231,82600
1217,677,233,63600
2628,1364,468,59400
2278,1185,475,60600
1340,662,239,57100
1434,811,289,49000
2119,1079,374,80400
3659,1970,667,96200
189,121,37,60000
720,359,138,61300
2515,1284,462,73800
2599,1241,502,86300
1003,1098,227,86400
1217,537,187,84600
812,374,142,73500
2220,1170,428,56200
1852,911,365,57000
1210,523,242,63900
2330,1505,470,56000
842,635,165,63000
2596,1100,409,85500
1019,501,185,81300
1432,862,275,57600
1814,941,323,59400
1687,864,334,81900
1105,408,166,82100
4221,1516,697,116000
1566,785,291,116100
2745,1150,491,94900
1199,463,199,92200
736,339,140,79900
7450,2233,930,133000
3758,1777,615,122600
1003,538,190,90400
3120,1319,526,93200
2029,1000,364,125900
3585,1800,598,133100
7188,3175,1115,130600
3095,1341,546,104000
2685,1061,492,101600
2967,1387,564,92600
4110,1796,706,122300
763,311,125,112500
1326,563,237,86600
1435,668,267,77400
2912,999,411,91900
1463,529,226,100900
1411,592,230,94700
1504,661,250,84800
4300,1480,609,139900
3757,546,223,121400
2962,252,103,155800
5497,997,408,111500
4401,924,383,123500
4495,1149,459,113700
3486,298,124,103800
3297,267,97,108300
1568,82,33,77500
1096,657,199,65800
1548,815,286,67500
3832,2435,747,59200
6440,3266,1142,72000
1446,670,281,92800
224,120,45,112500
266,154,49,75000
1064,434,147,108000
4169,2587,810,65500
1064,494,175,61500
2791,1395,476,62700
1629,551,214,68800
1592,781,307,69100
1989,985,396,75800
1214,660,249,75000
701,271,89,112500
3144,1095,482,192400
2549,1169,500,209400
2019,888,326,183800
9217,3578,1272,189100
7957,4460,1293,156500
7105,3523,1088,168800
3388,1707,575,162800
3079,1562,512,172900
3861,2085,707,129700
1046,527,164,213500
1014,704,238,119400
1710,861,300,131100
1850,1348,403,125400
2396,1391,465,151400
2055,1064,350,263100
1962,825,267,187100
2005,972,403,156700
4980,2399,763,186300
3258,1779,558,152500
2479,1075,350,241400
14684,4276,1722,340900
1428,989,287,154400
1999,967,320,253900
2273,1088,447,109400
1942,1074,393,105100
1124,528,226,128500
176,101,40,93800
1017,798,266,99100
1120,625,239,96400
3018,1614,568,127000
66,37,21,87500
2688,1216,422,133900
4032,1749,618,146800
3090,1588,566,124700
3184,1399,548,110200
3058,1351,523,130800
2371,1094,396,174500
2983,1417,510,168100
2807,1315,437,170400
2331,1086,340,150800
3995,1969,607,165200
1265,587,247,93500
2070,985,420,113400
2724,1400,540,97300
3268,1714,565,131000
3364,1806,566,133400
2269,1239,542,100000
6365,3838,1458,103600
1710,799,259,145300
1150,572,174,152400
1970,935,279,145900
2741,1507,460,142500
2572,1384,684,75800
4545,2188,901,126100
2380,1292,388,142600
2919,1456,453,164700
1141,562,213,108500
4156,1878,586,178600
3646,1651,535,164700
2738,1316,459,122500
3077,1575,446,179500
5623,2429,716,205100
2769,1045,469,158600
1489,838,259,90200
242,188,54,67500
2264,1403,476,99400
1225,725,231,101400
2982,1831,608,87700
2112,1249,382,87000
2707,1827,545,94600
1560,1037,372,181800
3644,2229,678,117800
2605,1352,408,140300
5329,2827,1202,150000
4114,1994,722,134400
721,367,129,151900
4075,2239,849,165200
3216,1504,453,161700
2171,928,461,170500
3787,1606,507,174200
2713,1475,415,144100
2203,1051,311,163900
3639,2362,641,103900
1497,943,341,122200
