year,mileage,tax,price
2019,5429,145,33985
2019,2710,145,30985
2019,6423,145,52985
2017,11017,150,12698
2017,16908,125,17298
2017,28801,125,16498
2017,23362,145,16798
2013,50025,235,15998
2018,8450,145,63985
2018,1790,145,27985
2018,10,145,19485
2018,10,145,20985
2018,6754,145,22285
2014,35423,200,14500
2017,16703,200,25000
2017,37203,125,15800
2013,44405,125,13500
2014,79389,165,12000
2015,61808,125,13800
2016,10491,0,11000
2018,19000,150,19995
2016,18900,0,11650
2014,50900,20,11850
2013,49000,325,12495
2015,23081,235,15995
2020,826,145,82995
2019,5987,145,25990
2019,2977,145,30995
2019,7573,145,34985
2019,3055,145,31995
2019,22,145,29985
2019,2250,145,28485
2016,20547,200,21498
2019,10,145,32895
2016,18828,260,22998
2019,28,145,35998
2016,38654,200,29985
2014,25764,200,16485
2016,28402,30,19485
2015,17152,30,13495
2016,29775,20,14995
2017,7801,145,39995
2015,60599,240,22990
2017,20670,30,12495
2019,2257,145,24985
2019,4039,145,24485
2016,21241,125,16485
2016,16945,160,20485
2018,18010,145,24985
2017,29653,145,19995
2014,75159,260,16000
2014,33842,200,14998
2015,42977,20,13995
2019,26,145,27990
2016,17454,0,11995
2018,17547,150,15995
2020,314,150,35995
2016,25010,30,13585
2019,3278,145,31985
2019,1285,145,32985
2019,4445,145,30985
2020,6998,145,34798
2020,6746,145,40780
2015,21245,205,34995
2017,27394,30,18995
2016,29283,0,12995
2016,20905,30,14495
2017,24386,0,12995
2017,11621,150,24995
2019,3409,145,20985
2016,30172,240,31995
2015,27016,30,13995
2020,7456,145,31985
2019,20,145,29490
2019,4781,150,20495
2016,40254,205,21995
2019,12320,150,24995
2018,16534,150,23995
2017,20075,150,22995
2016,14401,20,15995
2016,19430,145,19995
2013,28359,565,26995
2019,16385,150,49995
2014,24764,0,11995
2014,26141,125,11995
2020,7532,145,37331
2020,7925,145,39454
2020,7639,145,37507
2020,7914,145,33462
2018,15706,145,30995
2019,4598,145,25990
2018,6588,145,38995
2016,48248,205,31995
2019,4549,150,30995
2019,7564,145,18995
2018,11276,145,41995
2016,20141,30,19995
2016,16555,20,16995
2017,8608,145,14495
2017,18380,145,19995
2017,27136,145,23995
2016,36409,20,13995
2017,35219,150,27995
2018,10252,150,33995
2018,16380,145,17490
2015,30530,30,14990
2016,37129,235,30995
2017,36400,20,13995
2018,8618,145,47995
2018,9634,145,21995
2017,18355,145,19995
2017,28604,145,26995
2017,15187,145,15995
2015,43417,160,18990
2018,12195,145,35995
2018,12686,145,27995
2019,5356,145,23995
2020,7963,145,31265
2020,7423,145,36312
2017,12148,145,13995
2016,44525,235,31995
2016,20952,145,18495
2019,4582,145,33490
2014,36970,200,19995
2015,38244,145,17995
2015,26407,200,31995
2019,6484,145,23995
2019,3325,145,20995
2017,9078,145,24995
2017,22427,145,12995
2015,41755,150,14995
2015,35455,30,12490
2017,14607,20,14298
2016,24952,30,11498
2014,49640,30,11998
2017,21576,145,19998
2017,20870,145,27995
2017,30300,30,19995
2016,22353,160,19995
2016,23205,145,19995
2017,15361,30,13995
2019,8598,145,29995
2019,6000,145,19990
2019,5199,145,19990
2018,15092,145,14995
2017,3059,145,36990
2016,28475,200,24995
2013,35804,30,11490
2017,24000,30,18495
2019,3264,145,46990
2019,2868,145,23995
2019,6541,145,27990
2019,4511,145,36990
2017,27057,145,18995
2013,42185,145,12990
2015,59120,200,17995
2016,41431,160,16498
2019,30,145,31998
2019,5065,145,36995
2019,4638,145,36995
2017,34926,325,57995
2018,4642,145,22890
2015,29558,20,16995
2019,4899,145,33298
2017,17000,20,15995
2017,51204,145,20995
2013,38776,30,14995
2017,21972,145,19995
2018,17648,145,39995
2017,5674,145,22995
2017,22086,145,24995
2019,10090,145,39995
2015,20825,145,19995
2015,20042,30,12995
2019,3657,145,22663
2019,4502,145,24368
2017,31214,30,19495
2018,16414,145,19990
2018,27198,145,21495
2018,17166,145,28995
2018,18283,145,26990
2018,15076,145,27995
2017,29330,145,25995
2017,25520,145,19995
2020,7521,145,38534
2019,933,145,41995
2019,6018,145,19990
2019,11330,145,18495
2016,23478,235,33995
2017,17872,145,18995
2019,4327,145,30709
2019,4813,145,48136
2019,3578,145,24365
2019,4196,145,33295
2015,32065,30,13995
2017,15072,200,28995
2017,50286,145,16490
2017,25667,145,23995
2017,33165,200,35995
2017,27078,125,19995
2017,29874,125,19995
2015,28977,200,21995
2016,28526,160,21995
2017,14068,145,22995
2018,6321,145,18990
2018,4440,145,40990
2019,2085,145,23995
2019,2712,145,37995
2019,3968,145,33410
2019,6921,145,22997
2015,50062,30,14995
2015,31500,30,11995
2015,21807,30,12995
2019,7215,145,27990
2019,5397,145,29990
2019,4963,145,23377
2017,13688,200,25995
2017,19735,30,18995
2017,22175,145,20995
2018,13907,145,23995
2018,20106,145,14495
2018,7891,145,30995
2019,4836,145,26490
2019,4587,145,34259
2019,5721,145,35131
2019,4236,145,50414
2015,18188,200,21995
2016,41497,125,16995
2016,13961,30,14995
2019,10852,145,30990
2019,10059,145,18490
2019,5985,145,18490
2019,6214,145,26490
2019,5089,145,59995
2019,2756,145,24995
2019,4982,145,29490
2016,41505,20,17495
2017,26494,145,20995
2017,23655,30,14495
2019,3382,145,58995
2018,17789,145,19995
2019,5023,145,33640
2019,6238,145,53939
2019,4520,145,30719
2019,5210,145,30197
2019,3256,145,27022
2019,5201,145,37560
2019,28,145,49990
2017,25747,0,12495
2017,27000,145,14995
2016,51562,235,24490
2016,40030,0,13995
2016,43099,145,19495
2017,18842,145,17995
2016,31894,30,19995
2019,5712,145,30728
2015,38540,125,18995
2017,25552,30,13995
2015,72283,145,18495
2016,22809,235,34995
2017,16103,145,19995
2016,23745,30,13495
2016,29593,30,16995
2014,15300,125,13995
2018,9185,145,25995
2019,1592,145,25995
2016,45644,0,10995
2019,4488,145,48995
2016,29156,235,33995
2015,15837,30,12298
2016,15264,30,15998
2018,8211,150,18998
2017,10962,145,21995
2016,42187,235,28995
2017,8128,30,15995
2016,55697,20,13985
2015,35446,145,13995
2016,30366,160,18499
2017,32090,145,27498
2015,19300,145,15998
2016,37478,0,13998
2019,6266,145,24998
2016,8577,30,13995
2018,13147,145,18995
2017,24336,145,22995
2018,23813,145,17495
2017,17633,145,21995
2015,55220,30,16995
2017,47952,145,22995
2014,50500,235,19995
2016,31147,30,15495
2019,79,150,25998
2015,56875,150,14500
2015,37056,160,18995
2018,5431,145,39995
2016,31031,30,13995
2015,34906,160,17995
2017,14821,145,21995
2016,15307,30,15495
2016,23626,160,19995
2016,11892,0,12995
2016,42165,30,12995
2019,3036,145,31795
2019,2703,145,39995
2016,41032,300,48995
2018,8545,145,21495
2016,30287,20,13498
2016,1893,20,14998
2017,6896,145,16998
2016,34084,30,15498
2017,84222,20,13985
2015,68428,0,10385
2018,20283,150,37500
2016,56235,0,11500
2017,37492,205,24500
2015,66959,265,21500
2014,46622,205,16000
2013,40003,145,11995
2018,20300,145,38900
2019,50,145,24498
2016,23426,125,19995
2015,46465,30,14995
2018,14600,145,29995
2019,3232,145,23995
2017,16086,30,15995
2017,15981,145,13995
2018,6850,145,38995
2017,16668,145,18995
2018,13082,145,35995
2019,10522,145,18995
2018,12795,145,19995
2018,8250,145,34995
2019,5859,145,23995
2019,8235,145,37995
2019,5356,145,35995
2019,5565,145,34995
2017,13122,145,16498
2019,2940,145,26495
2016,26500,200,21995
2020,1100,145,52995
2018,24408,145,30995
2020,2200,145,69995
2020,500,145,51995
2016,47600,145,21995
2018,17252,145,22995
2017,49287,145,19945
2017,47446,145,22945
2017,14589,30,22990
2016,41279,0,13995
2018,3893,145,60995
2017,3338,145,38995
2018,4286,145,42995
2018,22913,145,28995
2019,4125,145,36995
2019,4000,145,34995
2019,5123,145,38495
2019,5000,145,43495
2019,6500,145,34995
2017,29832,145,35995
2017,11125,125,21495
2019,11565,145,36995
2019,10434,145,22995
2016,61332,20,11990
2016,22669,30,11498
2016,14419,145,19498
2015,37458,30,10698
2014,23015,20,11998
2016,26784,150,22500
2019,7256,145,35995
2016,24256,145,17995
2018,11047,145,28995
2017,19444,125,22995
2017,30123,125,17995
2019,7422,145,25995
2016,40688,160,24495
2019,5454,145,38995
2019,12785,145,19995
2019,7486,145,42995
2019,9256,145,36995
2019,13690,145,29995
2016,25125,160,20495
2019,6400,145,34995
2019,3265,145,19495
2017,17680,145,22995
2016,38502,30,11995
2016,36276,30,12995
2017,23437,300,49995
2017,20364,145,25995
2016,22606,30,11995
2020,100,150,29995
2019,8503,150,52995
2019,1296,150,28995
2016,26307,125,16995
2016,34685,200,33995
2016,34728,125,18995
2017,24427,145,14995
2017,16763,145,12995
2017,38484,145,15995
2017,16837,145,52995
2017,33523,145,19995
2017,6402,145,17298
2016,21944,125,15998
2015,19383,165,16498
2019,19118,145,25998
2019,4436,150,38995
2019,5978,150,83995
2019,2235,150,19995
2016,52496,160,16995
2016,52255,30,18350
2018,19686,145,15590
2016,26705,200,12500
2016,26705,30,12500
2018,18120,145,12500
2016,11966,145,18000
2016,34728,30,14500
2018,30547,145,16995
2015,72406,20,13795
2017,52822,145,19995
2015,70228,145,18990
2017,21637,20,15795
2014,52006,145,12595
2016,28994,160,20495
2018,30,145,37995
2019,7093,145,35995
2020,1934,145,35495
2019,4708,145,28995
2019,4304,145,38995
2017,9256,145,19495
2018,11403,145,27995
2019,1952,145,23995
2019,8060,145,41995
2018,7415,145,31700
2018,9756,145,42000
2018,9102,145,33500
2018,6002,145,31000
2018,6591,145,45000
2019,1000,145,22495
2019,5450,145,21995
2019,1000,145,29809
2019,1000,145,31995
2016,23596,145,18000
2018,11719,145,55500
2019,3185,145,31500
2019,8744,145,30995
2019,238,145,32250
2019,4693,145,31695
2016,28186,145,19000
2016,37000,145,16995
2017,13555,30,14695
2016,31031,235,31495
2016,34500,160,17395
2019,6412,145,33995
2017,14500,20,17500
2017,24857,0,11495
2019,2394,145,32494
2019,1000,145,36202
2019,1000,145,37395
2019,1000,145,31000
2018,10296,145,37000
2018,6629,145,20000
2019,6768,145,26495
2019,5363,145,23995
2019,4288,145,42500
2014,88130,30,7898
2017,17927,145,50000
2019,6452,145,29000
2019,6112,145,41495
2019,7447,145,25995
2019,4326,145,35995
2019,5558,145,49995
2019,2408,145,31500
2019,4430,145,23995
2019,1000,145,23374
2019,1000,145,22495
2016,8000,0,11495
2017,29885,30,19995
2017,14160,145,17695
2019,21480,145,27995
2019,6606,145,46000
2017,12147,145,23998
2017,29998,20,12798
2016,22168,145,17698
2016,24242,0,10998
2017,18389,145,19698
2016,31759,30,17298
2019,12853,145,24998
2019,13009,145,24998
2019,17,145,25998
2015,32125,125,14998
2015,17416,20,15998
2017,27049,145,19498
2014,81877,160,11950
2016,27692,145,16998
2015,35446,145,13995
2015,45000,30,16995
2018,6672,145,22590
2018,10005,145,20498
2019,2069,145,18998
2019,24608,145,25998
2017,36031,30,16495
2017,28752,150,13998
2014,58601,125,8498
2017,21113,145,19998
2015,66047,145,13998
2016,24405,20,17498
2015,43193,30,14995
2017,22379,125,16500
2014,36223,235,18498
2016,39293,30,14998
2018,13512,145,33498
2015,61194,0,9698
2017,58670,0,14849
2016,36951,0,10994
2014,34250,30,10202
2016,32811,0,15495
2017,31842,125,22695
2016,22373,30,11695
2017,34617,30,17495
2015,48065,145,14495
2017,26752,145,17795
2018,12300,145,18695
2016,24000,30,20000
2015,61410,30,13998
2015,57290,30,17498
2017,18045,145,16495
2017,13542,20,15498
2016,38678,235,29998
2017,19608,145,21498
2019,8849,145,29695
2015,13854,30,10995
2017,37131,0,10495
2014,60484,30,14998
2015,71253,160,16998
2016,32968,160,18998
2015,53372,20,11698
2017,24222,145,14898
2015,36081,145,12698
2018,11487,145,24498
2013,52765,200,11998
2019,2065,145,20350
2018,8026,145,17950
2018,31500,145,18300
2019,3481,150,31888
2018,31348,150,18288
2016,27370,30,15498
2017,15175,145,22500
2018,11347,150,22988
2017,24387,150,19688
2016,26165,30,13688
2017,14950,150,22988
2016,44316,30,16490
2017,35329,150,18488
2017,34201,145,26500
2015,21429,20,12450
2016,35694,20,12990
2015,40858,160,16998
2016,19285,125,13998
2015,35903,145,17498
2015,40256,160,17498
2019,7307,145,19995
2019,2402,145,22995
2019,4384,145,29995
2019,1442,145,28495
2019,4173,145,30995
2019,3243,145,33995
2019,3381,145,28495
2019,7378,145,23495
2019,4634,145,24495
2019,7126,145,34995
2020,556,145,20990
2017,9547,145,19850
2020,1904,145,33444
2020,525,145,30888
2020,2165,135,31990
2020,1500,145,20888
2019,1565,145,21490
2017,59512,145,13450
2019,6350,145,21488
2019,4538,145,21288
2019,6238,145,21288
2019,6018,145,22888
2019,4201,145,28888
2019,5150,145,21888
2016,40468,30,10988
2020,1986,145,38888
2020,4265,145,24444
2020,1765,145,39888
2020,820,145,33000
2020,4846,145,33444
2020,475,145,33444
2020,425,145,33444
2019,2271,145,37000
2019,4917,145,25444
2019,6070,145,26995
2019,7945,145,23995
2017,20637,30,18298
2015,38041,30,12490
2016,28555,125,16390
2019,3897,145,24888
2019,5793,145,21450
2017,30821,200,18990
2016,52034,145,15888
2018,9135,145,20688
2017,21728,145,35888
2019,2145,145,28495
2017,6479,145,38995
2019,1054,145,34995
2019,4598,145,30995
2019,1041,145,23495
2017,21595,145,15995
2018,9005,145,19995
2019,9029,145,40995
2017,25915,145,18950
2017,15454,145,20088
2016,25691,200,26000
2016,29920,300,29888
2019,5676,145,20500
2019,3263,145,36888
2016,24406,125,17988
2019,44,145,34998
2015,41109,200,21698
2019,13433,145,30543
2019,5130,145,26588
2019,2362,145,26846
2015,42565,200,19998
2017,19637,145,14698
2016,20674,160,17498
2015,22540,30,18498
2015,14146,125,16498
2016,21160,30,13498
2019,7779,150,20498
2015,19603,0,9995
2015,27275,30,12995
2019,8274,145,19888
2016,36399,125,22750
2016,46401,235,26990
2018,11088,145,20890
2017,32276,145,19990
2017,25576,145,20488
2018,13069,145,20488
2015,57123,20,15498
2016,47205,20,11498
2015,20995,30,14900
2016,24102,30,16400
2016,37251,145,13498
2016,11578,0,11698
2017,15114,145,22998
2017,20083,145,17998
2013,60076,20,10398
2016,42783,30,15498
2016,30334,30,12798
2016,22541,145,17998
2016,18263,30,16998
2016,37488,30,16498
2014,43209,300,20498
2016,45619,20,15395
2017,12313,30,20995
2016,50961,205,19498
2016,24001,30,11698
2017,24519,150,15998
2017,33856,145,19940
2016,29333,145,13498
2013,47565,125,9998
2019,4770,145,35995
2019,1000,145,36497
2019,1000,145,30864
2015,53124,145,14498
2019,5662,145,20498
2015,33845,145,16498
2015,39876,200,15498
2015,49565,30,9998
2016,13501,0,11798
2019,5654,145,22288
2017,22350,145,25000
2019,3065,145,28990
2016,30498,0,14998
2019,100,145,31998
2019,1000,145,30861
2019,15,145,26508
2019,1000,145,26011
2019,1000,145,28062
2019,1000,145,32098
2018,7919,145,39700
2018,8539,145,18495
2018,6940,145,20888
2019,1342,145,22490
2016,15734,0,12950
2019,6536,145,41888
2020,2396,145,58990
2019,2021,145,31288
2020,2553,145,37888
2016,32971,145,17498
2017,11133,145,18498
2016,33182,30,17998
2016,38231,30,16498
2017,21540,145,18498
2015,14919,160,19498
2019,9525,145,22698
2017,31317,125,17998
2019,1000,145,22495
2019,2529,150,33245
2016,38405,0,13998
2015,57916,30,16998
2015,50730,30,11798
2017,14488,150,14995
2019,3049,150,22995
2019,7461,150,45995
2017,37492,150,33495
2018,36715,150,19495
2017,14999,150,18000
2018,10247,145,15990
2016,9360,160,17000
2016,22543,30,15496
2019,1886,145,23888
2016,13986,30,20698
2015,43458,145,15998
2014,87151,30,8698
2016,21468,20,13698
2016,29298,20,12498
2017,15180,20,13698
2016,23933,20,16998
2019,4432,145,32500
2017,15097,150,14495
2016,44575,30,10995
2019,8391,150,40495
2016,33397,0,11495
2016,46860,20,13250
2019,12472,150,22991
2016,35665,30,18291
2017,36009,150,12991
2019,2891,145,23496
2019,3486,145,21756
2019,7098,145,32996
2020,4455,150,33591
2020,4455,150,27591
2017,9009,30,18991
2017,28618,30,18998
2016,51089,125,15698
2019,4444,145,24990
2019,4432,145,32000
2019,5432,145,19751
2019,5432,145,27444
2019,5432,145,35888
2019,2578,145,21996
2019,5432,145,19990
2019,5154,145,30766
2019,8654,145,23896
2017,22877,145,20996
2020,4433,150,34251
2020,4432,150,31990
2020,5432,150,25888
2016,37925,0,11295
2016,20645,30,12495
2017,32821,235,32995
2017,31777,30,21595
2019,1282,145,27795
2019,4985,145,29995
2018,20555,145,19991
2017,24001,145,19991
2020,4432,150,25990
2019,5505,150,43990
2020,5432,150,25491
2020,2301,150,29000
2019,5249,145,19751
2019,2493,145,23756
2019,4691,145,22444
2019,5432,145,24990
2019,4077,145,26444
2019,3786,145,23751
2019,4444,145,25888
2019,4432,145,37888
2019,4444,145,35896
2019,12335,145,39996
2017,18008,150,22491
2019,5432,150,38444
2018,12332,150,49991
2016,78269,0,12498
2016,54770,145,17698
2017,36396,145,20498
2017,16202,150,17991
2019,17003,150,45251
2019,5432,150,34444
2019,5432,145,23444
2019,1496,145,26990
2015,23768,125,16396
2019,4444,145,23888
2019,8787,145,56996
2019,5432,145,32444
2019,4432,145,32888
2019,4321,145,23888
2016,33072,160,18946
2017,27339,125,16856
2018,18876,145,12996
2016,25214,0,15256
2019,3402,145,24496
2017,23008,145,18696
2016,34051,200,21498
2015,51336,160,15998
2013,48282,260,21998
2015,44000,145,18998
2018,8602,145,28498
2015,74644,20,12498
2016,49936,145,17998
2016,30895,125,14498
2016,63000,125,15498
2020,4432,150,34991
2019,5432,145,17756
2019,4538,145,19991
2019,4567,145,18696
2019,3434,145,23256
2019,2197,145,26888
2019,985,145,20251
2019,6458,145,27444
2019,6565,135,44990
2019,5432,145,22444
2019,5432,145,21251
2020,3522,145,84496
2020,4432,145,24444
2020,4433,145,53990
2020,4432,145,32881
2020,5432,145,25491
2020,4433,145,35991
2019,2055,150,49496
2016,24950,30,16491
2015,28456,30,12698
2014,25242,200,15998
2017,74796,20,12998
2016,29398,145,13698
2017,53283,30,16998
2015,71030,30,15998
2016,41727,160,18998
2014,26728,160,15698
2019,3358,145,19991
2020,4432,145,32444
2019,4567,145,35496
2019,4567,145,31496
2017,21976,145,24896
2017,21201,145,19596
2019,2590,145,33888
2019,4321,145,23756
2019,4444,145,32500
2019,5432,145,25999
2019,4432,145,32500
2019,4433,145,38000
2019,3988,145,46888
2019,3411,145,29896
2020,4432,145,24444
2020,4343,145,37888
2020,1445,145,32444
2016,33423,200,20256
2016,15121,30,12996
2016,25783,30,10996
2017,20355,145,19656
2020,5432,145,28991
2020,4444,145,33491
2020,4432,145,32881
2020,4432,145,33881
2020,4454,145,30990
2017,35554,145,16496
2019,6190,145,19991
2015,39652,0,13351
2017,13253,150,14491
2016,25556,20,14991
2019,1676,150,29991
2017,18909,150,17991
2020,4433,150,36991
2020,4432,150,33491
2016,36329,30,11896
2017,24435,145,12990
2019,2243,145,22896
2019,4445,145,18990
2020,4432,145,32444
2019,6878,145,63796
2019,4512,145,24756
2013,57387,235,15896
2017,42779,145,12500
2017,40583,145,14650
2015,48175,125,17996
2019,5988,145,18896
2019,1500,145,31996
2017,26455,30,17591
2015,24621,145,18781
2019,15147,145,20991
2019,10897,145,34256
2019,4444,145,30491
2019,4761,145,56991
2019,4321,145,20444
2019,3863,145,20444
2019,6778,145,27990
2019,6155,145,19991
2019,6665,145,19991
2016,14514,30,17996
2017,38150,200,19956
2020,5432,145,27881
2020,5432,145,22990
2017,47112,145,18296
2019,1968,145,52496
2019,3632,145,19751
2016,25540,30,15556
2016,44071,300,42996
2019,14713,145,25419
2016,16666,0,15596
2019,12914,145,20996
2017,11119,145,29996
2019,6327,145,19996
2018,15524,145,59996
2019,8442,145,34596
2019,5446,145,34596
2016,36816,160,29498
2019,2025,145,32998
2019,3540,145,29996
2019,4430,145,34496
2019,2152,145,21496
2019,3556,145,19222
2015,18970,0,11256
2019,21275,145,19496
2019,6971,145,20996
2019,5904,145,39496
2016,23478,200,32996
2017,19408,145,23896
2017,8966,145,43996
2018,10961,145,36496
2016,33747,200,30996
2019,11001,145,24946
2020,5566,145,18496
2016,7102,125,17998
2016,64668,165,21998
2019,11058,145,16996
2019,6260,145,34496
2019,6274,145,18551
2017,17856,145,19496
2017,12222,125,18896
2017,15020,0,12756
2016,30692,30,16498
2015,28094,260,20998
2015,51405,20,13498
2015,76861,145,13998
2017,57464,0,13298
2019,6836,145,34991
2017,25954,145,22698
2017,11757,145,21998
2016,47322,30,15498
2016,50661,300,24998
2017,13403,150,18998
2015,49393,30,12298
2016,19268,30,17498
2016,45876,30,15998
2014,51451,125,8298
2016,15434,30,14998
2016,67643,30,12998
2014,69410,125,13498
2019,18075,145,18698
2016,27848,200,22498
2014,55368,125,11498
2017,53000,145,17000
2016,49429,20,16498
2019,6378,145,18998
2014,33071,145,12998
2016,42852,125,14998
2014,73874,200,14498
2015,54847,30,13998
2019,31,145,30998
2014,24175,20,11995
2015,24539,160,17398
2019,270,145,26498
2015,48853,145,15998
2014,75125,235,16298
2014,48330,125,8998
2017,17616,145,22398
2013,40252,160,11798
2017,26791,145,11295
2017,20399,145,18698
2016,30374,145,20698
2018,22721,145,19998
2018,14203,145,18498
2017,24020,145,22498
2019,9758,150,19998
2017,15893,145,14498
2019,76,145,35998
2017,8546,145,54998
2016,58952,0,9619
2017,31412,125,16991
2016,21686,30,12991
2017,20359,30,17498
2015,20897,160,17998
2016,18487,20,17998
